Species Name ,Order,Brain Mass (g),Cranial Capacity (cc),Body Mass (g),EQ
Hylobates muelleri,Primates,95.31,92,5954.88,2.6
Saimiri sciureus,Primates,23.35,22.54,578.7,3.62
Papio hamadryas,Primates,142,137.07,12020,2.29
Hylobates agilis,Primates,88.1,85.04,5528.75,2.54
Pongo pygmaeus,Primates,341.99,330.11,54229.04,1.8
Chlorocebus aethiops,Primates,64.13,61.9,3452.67,2.63
Saimiri oerstedii,Primates,22.45,21.67,605,3.37
Ateles fusciceps,Primates,113.6,109.65,9026.5,2.27
Aotus lemurinus,Primates,113.5,109.56,9026.5,2.27
Pan troglodytes,Primates,354.81,342.48,60433.16,1.72
Erythrocebus patas,Primates,100.2,96.72,7376,2.33
Hylobates syndactylus,Primates,134.8,130.12,12172,2.16
Macaca maura,Primates,94.48,91.2,6846,2.32
Macaca arctoides,Primates,100.7,97.2,7630,2.28
Saimiri boliviensis,Primates,24.06,23.22,750,3.08
Pithecia monachus,Primates,35,33.78,1500,2.67
Gorilla gorilla,Primates,454.55,438.75,120975,1.31
Trachypithecus francoisi,Primates,94.4,91.12,9100,1.88
Cercopithecus mitis,Primates,75,72.39,6300,1.96
Eulemur rubriventer,Primates,24.9,24.03,1015,2.54
Alouatta seniculus,Primates,45.5,43.92,2827.5,2.16
Daubentonia madagascariensis,Primates,45.15,43.58,2800,2.16
Procolobus badius,Primates,78,75.29,7000,1.89
Pygathrix nemaeus,Primates,77,74.32,7500,1.77
Colobus guereza,Primates,83.9,80.98,10281.25,1.52
Macaca sylvanus,Primates,87.7,84.65,11200,1.49
Callicebus moloch,Primates,19,18.34,900,2.12
Aotus trivirgatus,Primates,16.04,15.48,701.68,2.16
Leontopithecus rosalia,Primates,13.05,12.6,512.38,2.22
Alouatta caraya,Primates,50.7,48.94,5012.5,1.57
Colobus angolensis,Primates,74.4,71.81,9670,1.41
Saguinus oedipus,Primates,9.64,9.31,327.14,2.29
Saguinus geoffroyi,Primates,14.27,13.78,634.67,2.07
Eulemur mongoz,Primates,24.03,23.2,1559.33,1.78
Varecia variegata,Primates,31.2,30.12,2705.5,1.53
Alouatta palliata,Primates,50.04,48.3,5952,1.37
Nycticebus coucang,Primates,12.74,12.3,655.5,1.8
Callithrix pygmaea,Primates,4.64,4.48,134.75,2.14
Galagoides demidoff,Primates,3.38,3.26,81,2.28
Callithrix jacchus,Primates,7.73,7.46,347.45,1.76
Eulemur macaco,Primates,22.6,21.81,2086.17,1.35
Lemur catta,Primates,21.63,20.88,2090,1.29
Indri indri,Primates,38.3,36.97,6250,1.01
Propithecus verreauxi,Primates,26.7,25.77,3480,1.09
Perodicticus potto,Primates,12.07,11.65,929.33,1.32
Tarsius bancanus,Primates,2.7,2.61,77.6,1.88
Galago senegalensis,Primates,5.9,5.69,300.33,1.49
Nycticebus pygmaeus,Primates,7.8,7.53,480,1.39
Loris tardigradus,Primates,6,5.79,322,1.44
Cheirogaleus major,Primates,6.8,6.56,450,1.27
Microcebus murinus,Primates,1.84,1.78,58,1.59
Cheirogaleus medius,Primates,3.34,3.23,179.67,1.24
Avahi laniger,Primates,10.49,10.13,1285,0.9
Elephas maximus,Proboscidea,5211.25,5030.16,2765457.5,1.46
Loxodonta africana,Proboscidea,5436.4,5247.49,4301340,1.09
Rattus norvegicus,Rodentia,8.03,7.75,359.5,1.78
Callosciurus caniceps,Rodentia,6.02,5.81,240,1.8
Agouti paca,Rodentia,35.22,33.99,4607,1.16
Tamiops macclellandi,Rodentia,1.95,1.88,39,2.26
Xerus inauris,Rodentia,7.65,7.38,400,1.56
Dremomys rufigenis,Rodentia,5.41,5.22,240,1.62
Callosciurus notatus,Rodentia,4.91,4.74,209.5,1.63
Marmota sibirica,Rodentia,18.1,17.47,1890,1.16
Tscherskia triton,Rodentia,1.29,1.25,25,2.09
Sciurus niger,Rodentia,7.91,7.64,516.32,1.34
Callosciurus nigrovittatus,Rodentia,4.44,4.29,202,1.51
Sciurus vulgaris,Rodentia,5.93,5.72,327.4,1.41
Funisciurus pyrropus,Rodentia,4.38,4.23,200,1.5
Ammospermophilus nelsoni,Rodentia,2.31,2.23,70,1.73
Heliosciurus ruwenzorii,Rodentia,5.4,5.21,291,1.4
Dasyprocta leporina,Rodentia,21.26,20.52,2873,1
Heliosciurus rufobrachium,Rodentia,5.75,5.55,326,1.37
Sciurus carolinensis,Rodentia,7.41,7.15,503.17,1.28
Atherurus africanus,Rodentia,21.89,21.12,3152.5,0.96
Tamias panamintinus,Rodentia,1.83,1.77,51.2,1.73
Callosciurus prevostii,Rodentia,6.52,6.29,439,1.24
Tamias palmeri,Rodentia,1.99,1.92,60.8,1.66
Sciurus aureogaster,Rodentia,7.81,7.54,595,1.19
Tamias dorsalis,Rodentia,1.98,1.91,62.2,1.62
Tamiasciurus hudsonicus,Rodentia,3.83,3.7,188.9,1.37
Tamias townsendii,Rodentia,2.44,2.36,89.4,1.53
Funisciurus anerythrus,Rodentia,4.14,4,218,1.33
Iomys horsfieldii,Rodentia,3.38,3.26,155.5,1.4
Tamias minimus,Rodentia,1.6,1.54,45.3,1.66
Sciurus granatensis,Rodentia,5.91,5.7,400,1.21
Xerus rutilus,Rodentia,5.09,4.91,317.5,1.24
Rhinosciurus laticaudatus,Rodentia,4.28,4.13,240,1.28
Jaculus orientalis,Rodentia,2.5,2.41,98,1.46
Tamias speciosus,Rodentia,1.86,1.8,59.9,1.57
Hydrochaeris hydrochaeris,Rodentia,75,72.39,28500,0.64
Ratufa affinis,Rodentia,9.85,9.51,982.5,1.03
Thryonomys swinderianus,Rodentia,13.28,12.82,1625,0.95
Proechimys semispinosus,Rodentia,6.87,6.63,544.75,1.12
Funisciurus carruthersi,Rodentia,4.48,4.32,268,1.24
Tamias quadrimaculatus,Rodentia,2.16,2.08,82.3,1.44
Spermophilopsis leptodactylus,Rodentia,6.18,5.97,495,1.08
Allactaga sibirica,Rodentia,3.5,3.38,193,1.23
Ratufa bicolor,Rodentia,11.01,10.63,1320,0.92
Aeromys tephromelas,Rodentia,10.34,9.98,1189,0.94
Dasyprocta punctata,Rodentia,18.34,17.7,3172,0.8
Funambulus pennantii,Rodentia,2.1,2.03,85.9,1.35
Tamias quadrivittatus,Rodentia,1.7,1.64,62.3,1.39
Ammospermophilus leucurus,Rodentia,2.33,2.25,105.9,1.28
Tamias striatus,Rodentia,2.17,2.09,94.3,1.3
Erethizon dorsatum,Rodentia,24.6,23.75,5397,0.72
Lagidium viscacia,Rodentia,15.08,14.55,2460.5,0.79
Dolichotis patagonum,Rodentia,30.5,29.44,8000,0.67
Glaucomys sabrinus,Rodentia,3.01,2.91,174,1.15
Tamias amoenus,Rodentia,1.39,1.34,50.8,1.33
Heliosciurus gambianus,Rodentia,3.99,3.85,295,1.02
Melomys levipes,Rodentia,1.86,1.8,83.4,1.22
Petaurista petaurista,Rodentia,11.77,11.36,1811.5,0.78
Glaucomys volans,Rodentia,1.71,1.65,73.1,1.24
Cavia aperea,Rodentia,4.04,3.89,306.45,1.01
Spermophilus lateralis,Rodentia,3.21,3.1,209.7,1.06
Petaurista elegans,Rodentia,7.76,7.49,924,0.85
Xerus erythropus,Rodentia,6.68,6.45,722.5,0.88
Hylopetes spadiceus,Rodentia,1.87,1.81,87.5,1.19
Dipodomys ordii,Rodentia,1.45,1.4,57.1,1.26
Stenomys verecundus,Rodentia,1.48,1.43,59.4,1.26
Tatera afra,Rodentia,1.56,1.51,65,1.24
Hoplomys gymnurus,Rodentia,4.13,3.99,330,0.97
Aplodontia rufa,Rodentia,7.04,6.8,806,0.85
Pogonomelomys sevia,Rodentia,1.49,1.44,61.4,1.23
